MaxBW,SumBW
650.136,1760.096
1252.77,21564.013333333332
571.5485714285714,9235.037142857143
493.6026666666666,4265.707333333334
580.0014285714286,13430.224999999993
1300.14,33786.560000000005
730.2981818181819,13875.990909090908
2596.5333333333333,67459.69333333337
619.1490909090909,10915.058181818182
800.2740000000001,25199.043
649.9816666666668,19132.52916666666
1169.6533333333334,4269.700000000001
880.7824999999999,21045.32999999999
1042.8871428571429,33148.64571428571
928.8675,22607.56125
2348.0466666666666,55536.41
3765.7499999999995,34049.435
1314.5649999999998,2326.2799999999997
525.5559999999999,6681.378666666666
1190.3533333333332,12611.310000000001
3284.1,32351.25999999999
713.106,18839.654999999995
505.56142857142856,13536.672857142854
3512.4199999999996,67451.13500000001
6944.7300000000005,147473.74
3963.62,91891.46499999998
267.2238461538461,349.526923076923
738.4809090909092,22248.15272727272
809.1077777777778,12065.499999999996
1191.9033333333332,15924.15666666667
1422.97,24194.138000000003
807.3777777777777,3524.7988888888885
2355.8933333333334,24978.10333333334
486.7964285714286,4240.700714285715
881.9355555555554,14109.068888888887
634.503076923077,13536.46
800.4733333333332,13058.487777777777
1036.767142857143,14609.644285714287
576.1392307692307,13797.361538461535
2472.1433333333334,41728.46000000001
520.1342857142857,6680.664999999998
1884.1999999999998,39733.837499999994
505.7819999999999,6649.163333333334
7013.599999999999,195609.76000000004
579.5092307692306,17644.771538461537
619.1416666666667,4949.995
318.846,1241.6593333333333
1039.9785714285715,19131.862857142856
761.4977777777777,3783.6911111111112
782.8,14666.784444444447
1343.425,4075.21
517.4985714285714,4949.642857142857
518.7591666666667,1352.73
882.0533333333334,6992.790000000001
351.57153846153847,2009.3992307692306
846.38375,2213.195
3383.8999999999996,48521.83999999998
944.1149999999999,6582.834999999999
952.0149999999999,27692.22625
7620.45,149960.82
